# fylite/ids-table/1
# dd_version 4.1.1
# ids lh_antennas
# columns path kind ndim units coordinates same_as alternatives
antenna/n_e/data	F	2	m^-3	antenna(i1)/distance_to_antenna|antenna(i1)/n_e/time		
antenna/n_e/time	F	1	s	1...N		
antenna/module	A	1		1...N		
antenna/module/name	T	0				
antenna/module/description	T	0				
antenna/module/power_launched	S	0	W			
antenna/module/power_launched/data	F	1	W	antenna(i1)/module(i2)/power_launched/time		
antenna/module/power_launched/time	F	1	s	1...N		
antenna/module/power_forward	S	0	W			
antenna/module/power_forward/data	F	1	W	antenna(i1)/module(i2)/power_forward/time		
antenna/module/power_forward/time	F	1	s	1...N		
antenna/module/power_reflected	S	0	W			
antenna/module/power_reflected/data	F	1	W	antenna(i1)/module(i2)/power_reflected/time		
antenna/module/power_reflected/time	F	1	s	1...N		
antenna/module/reflection_coefficient	S	0	1			
antenna/module/reflection_coefficient/data	F	1	1	antenna(i1)/module(i2)/reflection_coefficient/time		
antenna/module/reflection_coefficient/time	F	1	s	1...N		
antenna/module/phase	S	0	rad			
antenna/module/phase/data	F	1	rad	antenna(i1)/module(i2)/phase/time		
antenna/module/phase/time	F	1	s	1...N		
antenna/row	A	1		1...N		
antenna/row/name	T	0				
antenna/row/position	S	0				
antenna/row/position/r	F	1	m	antenna(i1)/row(i2)/position/time		
antenna/row/position/phi	F	1	rad	antenna(i1)/row(i2)/position/time		
antenna/row/position/z	F	1	m	antenna(i1)/row(i2)/position/time		
antenna/row/position/time	F	1	s	1...N		
antenna/row/n_phi	F	1	1	antenna(i1)/row(i2)/time		
antenna/row/n_pol	F	1	1	antenna(i1)/row(i2)/time		
antenna/row/power_density_spectrum_1d	F	2	W	antenna(i1)/row(i2)/n_phi|antenna(i1)/row(i2)/time		
antenna/row/power_density_spectrum_2d	F	3	W	antenna(i1)/row(i2)/n_phi|antenna(i1)/row(i2)/n_pol|antenna(i1)/row(i2)/time		
antenna/row/time	F	1	s	1...N		
power_launched	S	0	W			
power_launched/data	F	1	W	power_launched/time		
power_launched/time	F	1	s	1...N		
latency	F	0	s			
code	S	0				
code/name	T	0				
code/description	T	0				
code/commit	T	0				
code/version	T	0				
code/repository	T	0				
code/parameters	T	0				
code/output_flag	I	1		time		
code/library	A	1		1...N		
code/library/name	T	0				
code/library/description	T	0				
code/library/commit	T	0				
code/library/version	T	0				
code/library/repository	T	0				
code/library/parameters	T	0				
time	F	1	s	1...N		
