# fylite/ids-table/1
# dd_version 4.1.1
# ids wall
# columns path kind ndim units coordinates same_as alternatives
global_quantities/neutral/incident_species/element/atoms_n	I	0				
global_quantities/neutral/incident_species/name	T	0				
global_quantities/neutral/incident_species/angles	F	1	rad	1...N		
global_quantities/neutral/incident_species/energies	F	1	eV	1...N		
global_quantities/neutral/incident_species/sputtering_physical	F	3	1	global_quantities/neutral(i1)/incident_species(i2)/angles|global_quantities/neutral(i1)/incident_species(i2)/energies|time		
global_quantities/neutral/incident_species/sputtering_chemical	F	1	1	time		
global_quantities/neutral/incident_species/sputtering_physical_coefficient	F	3	1	1...3|global_quantities/neutral(i1)/incident_species(i2)/energies|time		
global_quantities/neutral/incident_species/sputtering_chemical_coefficient	F	2	1	1...3|time		
global_quantities/temperature	F	1	K	time		
global_quantities/power_incident	F	1	W	time		
global_quantities/power_conducted	F	1	W	time		
global_quantities/power_convected	F	1	W	time		
global_quantities/power_radiated	F	1	W	time		
global_quantities/power_black_body	F	1	W	time		
global_quantities/power_neutrals	F	1	W	time		
global_quantities/power_recombination_plasma	F	1	W	time		
global_quantities/power_recombination_neutrals	F	1	W	time		
global_quantities/power_currents	F	1	W	time		
global_quantities/power_to_cooling	F	1	W	time		
global_quantities/power_inner_target_ion_total	F	1	W	time		
global_quantities/power_density_inner_target_max	F	1	W	time		
global_quantities/power_density_outer_target_max	F	1	W	time		
global_quantities/current_phi	F	1	A	time		
description_2d	A	1		1...N		
description_2d/type	S	0				
description_2d/type/name	T	0				
description_2d/type/index	I	0				
description_2d/type/description	T	0				
description_2d/limiter	S	0				
description_2d/limiter/type	S	0				
description_2d/limiter/type/name	T	0				
description_2d/limiter/type/index	I	0				
description_2d/limiter/type/description	T	0				
description_2d/limiter/unit	A	1		1...N		
description_2d/limiter/unit/name	T	0				
description_2d/limiter/unit/description	T	0				
description_2d/limiter/unit/component_type	S	0				
description_2d/limiter/unit/component_type/name	T	0				
description_2d/limiter/unit/component_type/index	I	0				
description_2d/limiter/unit/component_type/description	T	0				
description_2d/limiter/unit/outline	S	0				
description_2d/limiter/unit/outline/r	F	1	m	1...N		
description_2d/limiter/unit/outline/z	F	1	m	description_2d(i1)/limiter/unit(i2)/outline/r		
description_2d/limiter/unit/phi_extensions	F	2	rad	1...2|1...N		
description_2d/limiter/unit/resistivity	F	0	ohm.m			
description_2d/limiter/unit/midplane_thickness	F	0	m			
description_2d/limiter/unit/midplane_power_density_nuclear	S	0	W.m^-3			
description_2d/limiter/unit/midplane_power_density_nuclear/data	F	1	W.m^-3	description_2d(i1)/limiter/unit(i2)/midplane_power_density_nuclear/time		
description_2d/limiter/unit/midplane_power_density_nuclear/time	F	1	s	1...N		
description_2d/limiter/unit/power_nuclear	S	0	W			
description_2d/limiter/unit/power_nuclear/data	F	1	W	description_2d(i1)/limiter/unit(i2)/power_nuclear/time		
description_2d/limiter/unit/power_nuclear/time	F	1	s	1...N		
description_2d/mobile	S	0				
description_2d/mobile/type	S	0				
description_2d/mobile/type/name	T	0				
description_2d/mobile/type/index	I	0				
description_2d/mobile/type/description	T	0				
description_2d/mobile/unit	A	1		1...N		
description_2d/mobile/unit/name	T	0				
description_2d/mobile/unit/outline	A	1		description_2d(i1)/mobile/unit(i2)/outline(itime)/time		
description_2d/mobile/unit/outline/r	F	1	m	1...N		
description_2d/mobile/unit/outline/z	F	1	m	description_2d(i1)/mobile/unit(i2)/outline(itime)/r		
description_2d/mobile/unit/outline/time	F	0	s			
description_2d/mobile/unit/phi_extensions	F	2	rad	1...2|1...N		
description_2d/mobile/unit/resistivity	F	0	ohm.m			
description_2d/vessel	S	0				
description_2d/vessel/type	S	0				
description_2d/vessel/type/name	T	0				
description_2d/vessel/type/index	I	0				
description_2d/vessel/type/description	T	0				
description_2d/vessel/unit	A	1		1...N		
description_2d/vessel/unit/name	T	0				
description_2d/vessel/unit/description	T	0				
description_2d/vessel/unit/annular	S	0				
