# fylite/ids-table/1
# dd_version 4.1.1
# ids camera_ir
# columns path kind ndim units coordinates same_as alternatives
channel/camera/pinhole/y	F	0	m			
channel/camera/pinhole/z	F	0	m			
channel/camera/direction	S	0				
channel/camera/direction/x	F	0	m			
channel/camera/direction/y	F	0	m			
channel/camera/direction/z	F	0	m			
channel/camera/up	S	0				
channel/camera/up/x	F	0	m			
channel/camera/up/y	F	0	m			
channel/camera/up/z	F	0	m			
channel/camera/pixel_size	F	0	m			
channel/camera/field_of_view_horizontal	F	0	rad			
channel/camera/field_of_view_vertical	F	0	rad			
channel/camera/pixels_n_horizontal	I	0				
channel/camera/pixels_n_vertical	I	0				
channel/target_surface_center	S	0				
channel/target_surface_center/x	F	0	m			
channel/target_surface_center/y	F	0	m			
channel/target_surface_center/z	F	0	m			
midplane	S	0				
midplane/name	T	0				
midplane/index	I	0				
midplane/description	T	0				
frame_analysis	A	1		frame_analysis(itime)/time		
frame_analysis/sol_heat_decay_length	F	0	m			
frame_analysis/distance_separatrix_midplane	F	1	m	1...N		
frame_analysis/power_flux_parallel	F	1	W.m^-2	frame_analysis(itime)/distance_separatrix_midplane		
frame_analysis/time	F	0	s			
optical_element	A	1		1...N		
optical_element/type	S	0				
optical_element/type/name	T	0				
optical_element/type/index	I	0				
optical_element/type/description	T	0				
optical_element/front_surface	S	0				
optical_element/front_surface/curvature_type	S	0				
optical_element/front_surface/curvature_type/name	T	0				
optical_element/front_surface/curvature_type/index	I	0				
optical_element/front_surface/curvature_type/description	T	0				
optical_element/front_surface/x1_curvature	F	0	m			
optical_element/front_surface/x2_curvature	F	0	m			
optical_element/back_surface	S	0				
optical_element/back_surface/curvature_type	S	0				
optical_element/back_surface/curvature_type/name	T	0				
optical_element/back_surface/curvature_type/index	I	0				
optical_element/back_surface/curvature_type/description	T	0				
optical_element/back_surface/x1_curvature	F	0	m			
optical_element/back_surface/x2_curvature	F	0	m			
optical_element/thickness	F	0	m			
optical_element/material_properties	S	0				
optical_element/material_properties/type	S	0				
optical_element/material_properties/type/name	T	0				
optical_element/material_properties/type/index	I	0				
optical_element/material_properties/type/description	T	0				
optical_element/material_properties/wavelengths	F	1	m	1...N		
optical_element/material_properties/refractive_index	F	1	1	optical_element(i1)/material_properties/wavelengths		
optical_element/material_properties/extinction_coefficient	F	1	1	optical_element(i1)/material_properties/wavelengths		
optical_element/material_properties/transmission_coefficient	F	1	1	optical_element(i1)/material_properties/wavelengths		
optical_element/material_properties/roughness	F	1	1	optical_element(i1)/material_properties/wavelengths		
optical_element/geometry	S	0				
optical_element/geometry/geometry_type	I	0				
optical_element/geometry/centre	S	0				
optical_element/geometry/centre/r	F	0	m			
optical_element/geometry/centre/phi	F	0	rad			
optical_element/geometry/centre/z	F	0	m			
optical_element/geometry/radius	F	0	m			
optical_element/geometry/x1_unit_vector	S	0				
optical_element/geometry/x1_unit_vector/x	F	0	m			
optical_element/geometry/x1_unit_vector/y	F	0	m			
optical_element/geometry/x1_unit_vector/z	F	0	m			
optical_element/geometry/x2_unit_vector	S	0				
optical_element/geometry/x2_unit_vector/x	F	0	m			
optical_element/geometry/x2_unit_vector/y	F	0	m			
optical_element/geometry/x2_unit_vector/z	F	0	m			
optical_element/geometry/x3_unit_vector	S	0				
optical_element/geometry/x3_unit_vector/x	F	0	m			
optical_element/geometry/x3_unit_vector/y	F	0	m			
optical_element/geometry/x3_unit_vector/z	F	0	m			
optical_element/geometry/x1_width	F	0	m			
optical_element/geometry/x2_width	F	0	m			
optical_element/geometry/outline	S	0				
optical_element/geometry/outline/x1	F	1	m	1...N		
optical_element/geometry/outline/x2	F	1	m	optical_element(i1)/geometry/outline/x1		
optical_element/geometry/surface	F	0	m^2			
fibre_bundle	S	0				
fibre_bundle/geometry	S	0				
fibre_bundle/geometry/geometry_type	I	0				
fibre_bundle/geometry/centre	S	0				
fibre_bundle/geometry/centre/r	F	0	m			
fibre_bundle/geometry/centre/phi	F	0	rad			
fibre_bundle/geometry/centre/z	F	0	m			
fibre_bundle/geometry/radius	F	0	m			
fibre_bundle/geometry/x1_unit_vector	S	0				
fibre_bundle/geometry/x1_unit_vector/x	F	0	m			
fibre_bundle/geometry/x1_unit_vector/y	F	0	m			
fibre_bundle/geometry/x1_unit_vector/z	F	0	m			
fibre_bundle/geometry/x2_unit_vector	S	0				
fibre_bundle/geometry/x2_unit_vector/x	F	0	m			
fibre_bundle/geometry/x2_unit_vector/y	F	0	m			
fibre_bundle/geometry/x2_unit_vector/z	F	0	m			
fibre_bundle/geometry/x3_unit_vector	S	0				
fibre_bundle/geometry/x3_unit_vector/x	F	0	m			
fibre_bundle/geometry/x3_unit_vector/y	F	0	m			
fibre_bundle/geometry/x3_unit_vector/z	F	0	m			
fibre_bundle/geometry/x1_width	F	0	m			
fibre_bundle/geometry/x2_width	F	0	m			
fibre_bundle/geometry/outline	S	0				
fibre_bundle/geometry/outline/x1	F	1	m	1...N		
fibre_bundle/geometry/outline/x2	F	1	m	fibre_bundle/geometry/outline/x1		
fibre_bundle/geometry/surface	F	0	m^2			
fibre_bundle/fibre_radius	F	0	m			
fibre_bundle/fibre_positions	S	0				
