# fylite/ids-table/1
# dd_version 4.1.1
# ids distributions
# columns path kind ndim units coordinates same_as alternatives
distribution/species/neutral/state/vibrational_level	F	0	e			
distribution/species/neutral/state/vibrational_mode	T	0				
distribution/species/neutral/state/neutral_type	S	0				
distribution/species/neutral/state/neutral_type/name	T	0				
distribution/species/neutral/state/neutral_type/index	I	0				
distribution/species/neutral/state/neutral_type/description	T	0				
distribution/global_quantities	A	1		distribution(i1)/global_quantities(itime)/time		
distribution/global_quantities/particles_n	F	0	1			
distribution/global_quantities/particles_fast_n	F	0	1			
distribution/global_quantities/energy	F	0	J			
distribution/global_quantities/energy_fast	F	0	J			
distribution/global_quantities/energy_fast_parallel	F	0	J			
distribution/global_quantities/torque_tor_j_radial	F	0	N.m			
distribution/global_quantities/current_phi	F	0	A			
distribution/global_quantities/power_first_orbit	F	0	W			
distribution/global_quantities/power_rotation	F	0	W			
distribution/global_quantities/power_charge_exchange	F	0	W			
distribution/global_quantities/collisions	S	0				
distribution/global_quantities/collisions/electrons	S	0				
distribution/global_quantities/collisions/electrons/power_thermal	F	0	W			
distribution/global_quantities/collisions/electrons/power_fast	F	0	W			
distribution/global_quantities/collisions/electrons/torque_thermal_phi	F	0	N.m			
distribution/global_quantities/collisions/electrons/torque_fast_phi	F	0	N.m			
distribution/global_quantities/collisions/ion	A	1		1...N		
distribution/global_quantities/collisions/ion/element	A	1		1...N		
distribution/global_quantities/collisions/ion/element/a	F	0	u			
distribution/global_quantities/collisions/ion/element/z_n	I	0	e			
distribution/global_quantities/collisions/ion/element/atoms_n	I	0				
distribution/global_quantities/collisions/ion/z_ion	F	0	e			
distribution/global_quantities/collisions/ion/name	T	0				
distribution/global_quantities/collisions/ion/neutral_index	I	0				
distribution/global_quantities/collisions/ion/power_thermal	F	0	W			
distribution/global_quantities/collisions/ion/power_fast	F	0	W			
distribution/global_quantities/collisions/ion/torque_thermal_phi	F	0	N.m			
distribution/global_quantities/collisions/ion/torque_fast_phi	F	0	N.m			
distribution/global_quantities/collisions/ion/multiple_states_flag	I	0				
distribution/global_quantities/collisions/ion/state	A	1		1...N		
distribution/global_quantities/collisions/ion/state/z_min	F	0	e			
distribution/global_quantities/collisions/ion/state/z_max	F	0	e			
distribution/global_quantities/collisions/ion/state/name	T	0				
distribution/global_quantities/collisions/ion/state/electron_configuration	T	0				
distribution/global_quantities/collisions/ion/state/vibrational_level	F	0	e			
distribution/global_quantities/collisions/ion/state/vibrational_mode	T	0				
distribution/global_quantities/collisions/ion/state/power_thermal	F	0	W			
distribution/global_quantities/collisions/ion/state/power_fast	F	0	W			
distribution/global_quantities/collisions/ion/state/torque_thermal_phi	F	0	N.m			
distribution/global_quantities/collisions/ion/state/torque_fast_phi	F	0	N.m			
distribution/global_quantities/thermalization	S	0				
distribution/global_quantities/thermalization/particles	F	0	s^-1			
distribution/global_quantities/thermalization/power	F	0	W			
distribution/global_quantities/thermalization/torque	F	0	N.m			
distribution/global_quantities/source	A	1		1...N		
distribution/global_quantities/source/identifier	S	0				
distribution/global_quantities/source/identifier/type	S	0				
distribution/global_quantities/source/identifier/type/name	T	0				
distribution/global_quantities/source/identifier/type/index	I	0				
distribution/global_quantities/source/identifier/type/description	T	0				
distribution/global_quantities/source/identifier/wave_index	I	0				
distribution/global_quantities/source/identifier/process_index	I	0				
distribution/global_quantities/source/particles	F	0	s^-1			
distribution/global_quantities/source/power	F	0	W			
distribution/global_quantities/source/torque_phi	F	0	N.m			
distribution/global_quantities/time	F	0	s			
distribution/profiles_1d	A	1		distribution(i1)/profiles_1d(itime)/time		
distribution/profiles_1d/grid	S	0				
distribution/profiles_1d/grid/rho_tor_norm	F	1	1	1...N		distribution(i1)/profiles_1d(itime)/grid/rho_tor;distribution(i1)/profiles_1d(itime)/grid/psi;distribution(i1)/profiles_1d(itime)/grid/volume;distribution(i1)/profiles_1d(itime)/grid/area;distribution(i1)/profiles_1d(itime)/grid/surface;distribution(i1)/profiles_1d(itime)/grid/rho_pol_norm
distribution/profiles_1d/grid/rho_tor	F	1	m	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/grid/rho_pol_norm	F	1	1	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/grid/psi	F	1	Wb	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/grid/volume	F	1	m^3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/grid/area	F	1	m^2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/grid/surface	F	1	m^2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/grid/psi_magnetic_axis	F	0	Wb			
distribution/profiles_1d/grid/psi_boundary	F	0	Wb			
distribution/profiles_1d/fast_filter	S	0				
distribution/profiles_1d/fast_filter/method	S	0				
distribution/profiles_1d/fast_filter/method/name	T	0				
distribution/profiles_1d/fast_filter/method/index	I	0				
distribution/profiles_1d/fast_filter/method/description	T	0				
distribution/profiles_1d/fast_filter/energy	F	1	eV	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/density	F	1	m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/density_fast	F	1	m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/pressure	F	1	Pa	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/pressure_fast	F	1	Pa	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/pressure_fast_parallel	F	1	Pa	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/pressure_fast_perpendicular	F	1	Pa	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/current_phi	F	1	A.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/current_fast_phi	F	1	A.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/torque_phi_j_radial	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions	S	0				
distribution/profiles_1d/collisions/electrons	S	0				
distribution/profiles_1d/collisions/electrons/power_thermal	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/electrons/power_fast	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/electrons/torque_thermal_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/electrons/torque_fast_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion	A	1		1...N		
distribution/profiles_1d/collisions/ion/element	A	1		1...N		
distribution/profiles_1d/collisions/ion/element/a	F	0	u			
distribution/profiles_1d/collisions/ion/element/z_n	I	0	e			
distribution/profiles_1d/collisions/ion/element/atoms_n	I	0				
distribution/profiles_1d/collisions/ion/z_ion	F	0	e			
distribution/profiles_1d/collisions/ion/name	T	0				
distribution/profiles_1d/collisions/ion/neutral_index	I	0				
distribution/profiles_1d/collisions/ion/power_thermal	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/power_fast	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/torque_thermal_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/torque_fast_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/multiple_states_flag	I	0				
distribution/profiles_1d/collisions/ion/state	A	1		1...N		
distribution/profiles_1d/collisions/ion/state/z_min	F	0	e			
distribution/profiles_1d/collisions/ion/state/z_max	F	0	e			
distribution/profiles_1d/collisions/ion/state/name	T	0				
distribution/profiles_1d/collisions/ion/state/electron_configuration	T	0				
distribution/profiles_1d/collisions/ion/state/vibrational_level	F	0	e			
distribution/profiles_1d/collisions/ion/state/vibrational_mode	T	0				
distribution/profiles_1d/collisions/ion/state/power_thermal	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/state/power_fast	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/state/torque_thermal_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/collisions/ion/state/torque_fast_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/thermalization	S	0				
distribution/profiles_1d/thermalization/particles	F	1	s^-1.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/thermalization/energy	F	1	W.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/thermalization/momentum_phi	F	1	N.m^-2	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
distribution/profiles_1d/source	A	1		1...N		
distribution/profiles_1d/source/identifier	S	0				
distribution/profiles_1d/source/identifier/type	S	0				
distribution/profiles_1d/source/identifier/type/name	T	0				
distribution/profiles_1d/source/identifier/type/index	I	0				
distribution/profiles_1d/source/identifier/type/description	T	0				
distribution/profiles_1d/source/identifier/wave_index	I	0				
distribution/profiles_1d/source/identifier/process_index	I	0				
distribution/profiles_1d/source/particles	F	1	s^-1.m^-3	distribution(i1)/profiles_1d(itime)/grid/rho_tor_norm		
